Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
37,1.0,0.0,0.0,1362.0,17.0,35.0,3550.0,0.0,16.060725192173436,0.0,0.0,698.2912683486938,,,,,,,,,,,,,,,,,,,,,1.0125516576923639,8.939641120608234,16.05738459596152,-12.938864259142692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1448.0,18.0,86.0,3636.0,0.0,56.042849868062746,0.0,0.0,707.8080096244812,,,,,,,,,,,,,,,,,,,,,24.87455556878033,20.408986559189064,54.01160729212466,-10.24686370810057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1521.0,19.0,73.0,3709.0,0.0,57.80062094992782,0.0,0.0,715.7240839004517,,,,,,,,,,,,,,,,,,,,,22.628403063844598,20.198958629521552,56.261213692438396,-10.250027292480263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1593.0,20.0,72.0,3781.0,0.0,56.85148180769125,0.0,0.0,723.2192752361298,,,,,,,,,,,,,,,,,,,,,22.193093019470947,19.928011650887036,55.36425225053822,-10.197926231497139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,56.0,1.0,56.0,3837.0,0.0,37.47764747725912,0.0,0.0,971.1118595600128,,,,,,,,,,,,,,,,,,,,,11.430455507755367,15.183673165262526,36.91132771292298,-12.543910704633777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,107.0,2.0,51.0,3888.0,0.0,33.41905909958922,0.0,0.0,976.9005711078644,,,,,,,,,,,,,,,,,,,,,9.926166443191443,13.74084626791021,32.97874913049836,-11.599995836836579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,154.0,3.0,47.0,3935.0,0.0,20.17876221144573,0.0,0.0,982.0141520500183,,,,,,,,,,,,,,,,,,,,,3.7167605005588267,8.244507678036111,20.044142709195125,-9.763884674037147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,190.0,4.0,36.0,3971.0,0.0,14.751589306674706,0.0,0.0,986.1325688362122,,,,,,,,,,,,,,,,,,,,,-0.40883715170606716,8.888569955325407,14.795884417085867,-14.237502411891505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,223.0,5.0,33.0,4004.0,0.0,18.24148889104022,0.0,0.0,989.7909786701202,,,,,,,,,,,,,,,,,,,,,3.7801749429959273,8.715233946314799,18.153031026944202,-9.769741456694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,250.0,6.0,27.0,4031.0,0.0,8.928457677302905,0.0,0.0,992.9896717071533,,,,,,,,,,,,,,,,,,,,,-1.894600943493585,6.493917071302122,8.997598101381898,-12.06537232353331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,408.0,7.0,158.0,4189.0,0.0,133.13166047522753,0.0,0.0,1009.8422529697418,,,,,,,,,,,,,,,,,,,,,65.17745088133671,32.89035308628014,123.07965947526725,1.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
